,Country,League,Date,Team,Chance,Bet,Percentage
0,england,PREMIER LEAGUE (6),20-08-2022,Tottenham vs Wolverhampton,Double Chance,1X,88%
45,england,PREMIER LEAGUE (6),20-08-2022,Bournemouth vs Arsenal,Double Chance,X2,85%
54,england,CHAMPIONSHIP (11),19-08-2022,Norwich vs Millwall,Double Chance,1X,85%
72,england,CHAMPIONSHIP (11),20-08-2022,Burnley vs Blackpool,Double Chance,1X,88%
117,england,CHAMPIONSHIP (11),20-08-2022,Sheff Utd vs Blackburn,Double Chance,1X,86%
189,england,LEAGUE 1 (12),20-08-2022,Exeter vs Cheltenham,Double Chance,1X,88%
234,england,LEAGUE 1 (12),20-08-2022,Peterborough vs Lincoln City,Double Chance,1X,88%
243,england,LEAGUE 1 (12),20-08-2022,Portsmouth vs Bristol Rovers,Double Chance,1X,88%
432,spain,SEGUNDA (6),20-08-2022,Sporting Gijon vs FC Andorra,Double Chance,1X,86%
486,germany,BUNDESLIGA I (7),20-08-2022,Bayer Leverkusen vs TSG Hoffenheim,Double Chance,1X,89%
585,germany,3.LIGA (7),19-08-2022,1860 Munich vs Hallescher FC,Double Chance,1X,89%
657,italy,SERIE A (4),20-08-2022,Udinese vs Salernitana,Double Chance,1X,87%
666,italy,SERIE A (4),20-08-2022,Inter Milan vs Spezia,Double Chance,1X,94%
693,italy,SERIE B (4),20-08-2022,Genoa vs Benevento,Double Chance,1X,87%
720,france,LIGUE 1 (3),19-08-2022,Lyon vs Troyes,Double Chance,1X,87%
729,france,LIGUE 1 (3),20-08-2022,Monaco vs Lens,Double Chance,1X,88%
738,france,LIGUE 1 (3),20-08-2022,Marseille vs Nantes,Double Chance,1X,86%
855,austria,BUNDESLIGA (3),20-08-2022,FC Salzburg vs Austria Klagenfurt,Double Chance,1X,94%
882,belgium,FIRST DIVISION A (3),19-08-2022,Eupen vs RFC Seraing,Double Chance,1X,88%
927,belgium,FIRST DIVISION B (4),20-08-2022,SK Beveren vs Excelsior Virton,Double Chance,1X,85%
936,belgium,FIRST DIVISION B (4),20-08-2022,RWD Molenbeek vs FCV Dender EH,Double Chance,1X,85%
981,bolivia,CLAUSURA (5),20-08-2022,Bolivar vs Oriente Petrolero,Double Chance,1X,87%
990,brazil,SERIE A (2),20-08-2022,Atletico Mineiro vs Goias,Double Chance,1X,94%
999,brazil,SERIE A (2),20-08-2022,Fluminense vs Coritiba,Double Chance,1X,87%
1035,bulgaria,FIRST LEAGUE (3),20-08-2022,Levski Sofia vs FC Hebar Pazardzhik,Double Chance,1X,96%
1053,china,SUPER LEAGUE (2),19-08-2022,Hebei vs Changchun Yatai,Double Chance,X2,89%
1134,croatia,HNL (3),20-08-2022,Dinamo Zagreb vs NK Osijek,Double Chance,1X,87%
1161,czech republic,FIRST LEAGUE (4),20-08-2022,Banik Ostrava vs FK Teplice,Double Chance,1X,87%
1170,czech republic,FIRST LEAGUE (4),20-08-2022,Viktoria Plzen vs FC Brno,Double Chance,1X,87%
1224,czech republic,2. LIGA (6),20-08-2022,MFK Karvina vs Vysocina Jihlava,Double Chance,1X,85%
1251,denmark,SUPERLIGAEN (2),19-08-2022,Lyngby vs FC Copenhagen,Double Chance,X2,85%
1296,denmark,DIVISION 1 (4),20-08-2022,Hobro IK vs Hillerød,Double Chance,1X,87%
1323,ecuador,CAMPEONATO NACIONAL (3),20-08-2022,LDU Quito vs Cumbaya FC,Double Chance,1X,89%
1341,finland,VEIKKAUSLIIGA (2),20-08-2022,VPS Vaasa vs Lahti,Double Chance,1X,88%
1395,greece,SUPER LEAGUE 1 (4),20-08-2022,Lamia vs AEK Athens,Double Chance,X2,86%
1404,greece,SUPER LEAGUE 1 (4),20-08-2022,PAOK Salonika vs Panetolikos,Double Chance,1X,89%
1413,hungary,NB I (1),19-08-2022,Puskas Academy vs Kecskemeti TE,Double Chance,1X,88%
1440,israel,PREMIER LEAGUE (4),20-08-2022,Maccabi Netanya vs Beitar Jerusalem,Double Chance,1X,87%
1449,israel,PREMIER LEAGUE (4),20-08-2022,Bnei Sakhnin vs Maccabi Haifa,Double Chance,X2,88%
